# timestamp tx ty tz qx qy qz qw
1618905191.5860848426818848 416.6429039498584075 437.4220665689094290 -22.2147776317137300 0.0779197477905907 0.0455347646647220 -0.0952675542835836 0.9913522034130555
1618905191.8460400104522705 416.6429386746949604 437.4224030269886043 -22.2141542164551566 0.0779604955649149 0.0454414466788230 -0.0972390912413640 0.9911618410680868
1618905192.1059858798980713 416.6429772784847501 437.4227310995812559 -22.2135236369248759 0.0780019571929992 0.0453384351229503 -0.0991700159781363 0.9909719617151012
1618905192.3660998344421387 416.6430356983800039 437.4230481461954128 -22.2129152125595333 0.0780313083371576 0.0452528005756268 -0.1010295745260804 0.9907857104491616
1618905192.6260399818420410 416.6430675999444020 437.4233684553946091 -22.2123130624920613 0.0780297823257919 0.0451596781488187 -0.1029699942499616 0.9905902971580962
1618905192.8860969543457031 416.6431279189100110 437.4236852723380480 -22.2117071506227788 0.0780768908246689 0.0450575544546882 -0.1049669483705826 0.9903816212225478
1618905193.1461868286132812 416.6431851980981378 437.4240144237775780 -22.2111013489769569 0.0781018173831306 0.0449653310726286 -0.1068885148315348 0.9901783023880141
1618905193.4063398838043213 416.6432616222735419 437.4243467965594050 -22.2104931390913620 0.0781085263365075 0.0448713230061572 -0.1088446930861039 0.9899689163161267
1618905193.6661398410797119 416.6432596884971531 437.4246703419391906 -22.2098948728785501 0.0781853431513568 0.0447605322600416 -0.1107697779422088 0.9897543145461172
1618905193.9261410236358643 416.6432925119511879 437.4249652101565289 -22.2093064705726313 0.0782261080703043 0.0446382369214512 -0.1127564097058608 0.9895322611673054
1618905194.1862409114837646 416.6433576615237939 437.4252495569135135 -22.2087156668323935 0.0782919248811975 0.0445396348231488 -0.1147095541823702 0.9893069865352310
1618905194.4462468624114990 416.6434072674998106 437.4255511917851891 -22.2081190533104156 0.0783396925311226 0.0444383019903140 -0.1167026386267963 0.9890746301608444
1618905194.7062408924102783 416.6434430115927512 437.4258394233366971 -22.2075437472157908 0.0783806581277108 0.0443359995023396 -0.1186996647045235 0.9888382988024642
1618905194.9663398265838623 416.6435025647170391 437.4261326478916203 -22.2069694881323976 0.0784282296806744 0.0442456784982639 -0.1206442245513829 0.9886032084743107
1618905195.2263419628143311 416.6435397449862421 437.4264117849813829 -22.2063877303894088 0.0784957299947167 0.0441477712598573 -0.1226236959211596 0.9883586514337497
1618905195.4863400459289551 416.6435717746884961 437.4266911628183720 -22.2058295798949779 0.0786206300548612 0.0440300535228671 -0.1246268723135791 0.9881033820475495
1618905195.7463409900665283 416.6436064400758710 437.4269616398128164 -22.2052803902050755 0.0787215450706071 0.0439358174440268 -0.1266147855110315 0.9878467787957494
1618905196.0064418315887451 416.6436626692478740 437.4272286736944011 -22.2047295570529393 0.0787724951961151 0.0437966984524815 -0.1285975113683356 0.9875927416071020
1618905196.2664418220520020 416.6437092400391862 437.4275141739340711 -22.2041855634305243 0.0787690230273180 0.0436655921048435 -0.1305134022355915 0.9873474610866572
1618905196.5264418125152588 416.6437456483439519 437.4278000921450484 -22.2036216605898389 0.0788077221921549 0.0435744414238665 -0.1324550482453065 0.9870897989401655
1618905196.7865419387817383 416.6438003923222482 437.4280682468678378 -22.2030703469591444 0.0788784733945886 0.0434792644605304 -0.1343664703378994 0.9868299709908317
1618905197.0465428829193115 416.6438323861423783 437.4283348003419860 -22.2025327770145431 0.0788691138616984 0.0433585640571290 -0.1363325801692874 0.9865663309610161
1618905197.3065438270568848 416.6438719382900331 437.4285949262369400 -22.2020141110530460 0.0789131229761387 0.0432563314528565 -0.1382703151254258 0.9862975863127874
1618905197.5665428638458252 416.6439120822417408 437.4288557699498483 -22.2014878901227277 0.0789649099078693 0.0431155924828264 -0.1401768428551850 0.9860304464950214
1618905197.8266429901123047 416.6439740302651558 437.4290979517746223 -22.2009461992691328 0.0790028006395748 0.0430033502924353 -0.1421860215005946 0.9857445940224502
1618905198.0866439342498779 416.6440245887456513 437.4293347655078037 -22.2004163731651900 0.0790183994459314 0.0428876558184904 -0.1441164882406865 0.9854680001626089
1618905198.3466429710388184 416.6440800525007830 437.4295883309384294 -22.1998896534828489 0.0790608647963706 0.0427551886631133 -0.1460897556950956 0.9851797586130666
1618905198.6067428588867188 416.6441483693329815 437.4298355301289121 -22.1993477972203017 0.0791259544420389 0.0426142986719582 -0.1480021838250057 0.9848951510010008
1618905198.8670430183410645 416.6442357497656417 437.4300810143466265 -22.1988186185632799 0.0792278417489641 0.0425036668237822 -0.1499399316096451 0.9845986006018651
1618905199.1267459392547607 416.6442360453406764 437.4303090755352059 -22.1982913924362606 0.0792792301405980 0.0423961204240166 -0.1518932481145337 0.9842996565164728
1618905199.3869438171386719 416.6443108793514511 437.4305509674305199 -22.1977660547624609 0.0793657468160586 0.0422526882439979 -0.1538000175874682 0.9840027150158183
1618905199.6469438076019287 416.6443584665386197 437.4307759078034792 -22.1972429835732754 0.0793837828041541 0.0421143413749450 -0.1557428814820934 0.9837015564417059
1618905199.9069440364837646 416.6444040708848888 437.4310217670225143 -22.1967245915508080 0.0794506157448163 0.0420063325469094 -0.1576520639364028 0.9833966109460835
1618905200.1669909954071045 416.6444609063679536 437.4312532780168112 -22.1962342490788309 0.0795158948061430 0.0418790044126623 -0.1595277596921055 0.9830942301479154
1618905200.4270458221435547 416.6445017064651211 437.4314779408267668 -22.1957147035690525 0.0795493486954957 0.0417443564559179 -0.1615036579425934 0.9827745816296273
1618905200.6870908737182617 416.6445456434182688 437.4316764158882620 -22.1952291030068061 0.0796415118722526 0.0416228460560266 -0.1634782463115622 0.9824457395987416
1618905200.9469459056854248 416.6445676356641457 437.4318897383175795 -22.1947385728051394 0.0796670303755650 0.0415156076804041 -0.1654281340741226 0.9821217597868109
1618905201.2071909904479980 416.6446273005985859 437.4320982999745411 -22.1942544160193869 0.0797299528156862 0.0413901347432734 -0.1673173056789892 0.9818018693148785
1618905201.4671449661254883 416.6446608780930774 437.4323153599765988 -22.1937731654477339 0.0797751876136481 0.0412703476540495 -0.1692604393764396 0.9814701123863828
1618905201.7271449565887451 416.6447018988441187 437.4325183287602385 -22.1932842234557590 0.0798274911987917 0.0411544014714475 -0.1712458142407033 0.9811262701576168
1618905201.9872059822082520 416.6447570198178596 437.4327134209638643 -22.1928126070642691 0.0798997373653836 0.0410308688225158 -0.1731703184243770 0.9807877143344202
1618905202.2472929954528809 416.6448101884599282 437.4329168638332703 -22.1923446726157003 0.0799345817196526 0.0409316354045348 -0.1751332806388725 0.9804404101632102
1618905202.5072050094604492 416.6448434458558836 437.4331119526995622 -22.1918947188804907 0.0799577328766830 0.0408254435012033 -0.1769920459001537 0.9801091060714371
1618905202.7671918869018555 416.6448697994475197 437.4333132370998101 -22.1914344225003077 0.0800255114847715 0.0406813717091698 -0.1788907510158466 0.9797647894818283
1618905203.0272929668426514 416.6449359118628877 437.4335043118092017 -22.1909717902456016 0.0800867242098659 0.0405511256122980 -0.1808781896419524 0.9794002263266451
1618905203.2873220443725586 416.6449808466214790 437.4336935999504590 -22.1905246898465052 0.0800909857274600 0.0404250080837347 -0.1828658869840717 0.9790359135925960
1618905203.5472550392150879 416.6450150294130594 437.4338739148346917 -22.1900516907527035 0.0801564592375456 0.0403247120614181 -0.1848122679402581 0.9786691398314189
1618905203.8072478771209717 416.6450681844289647 437.4340588430528101 -22.1895861684582165 0.0801949887395191 0.0401917762550774 -0.1867258526648465 0.9783081522961183
1618905204.0673480033874512 416.6451149343467932 437.4342357744042715 -22.1891315638532838 0.0802213988446225 0.0400548234455383 -0.1886538762560226 0.9779416410295997
1618905204.3273479938507080 416.6451587198058633 437.4344124982695803 -22.1886801299508569 0.0802705692044983 0.0399532226949009 -0.1906399992534483 0.9775565284935980
1618905204.5873949527740479 416.6452100334295210 437.4345789619638367 -22.1882387981413345 0.0803025119144005 0.0398597719361120 -0.1926876699530610 0.9771561630616836
1618905204.8474478721618652 416.6452629148622009 437.4347459844023547 -22.1878058141530161 0.0803155501268009 0.0397747382859067 -0.1946173304277864 0.9767760630253035
1618905205.1074478626251221 416.6453022185470445 437.4349187206123020 -22.1873763827718875 0.0803710954705071 0.0396458362785998 -0.1965526451264780 0.9763891398271273
1618905205.3674478530883789 416.6453462350539212 437.4350785930449774 -22.1869412537814696 0.0804083882505800 0.0394889855173872 -0.1984548128653979 0.9760075811038784
1618905205.6274499893188477 416.6453808343001697 437.4352431084899422 -22.1865326042424265 0.0804186426816536 0.0393749317585700 -0.2003600408708924 0.9756220121954997
1618905205.8875949382781982 416.6454370488704626 437.4353922091394224 -22.1861251809591238 0.0804436430830586 0.0392590652573774 -0.2023761871653203 0.9752084007795477
1618905206.1475489139556885 416.6454699983021328 437.4355539177818173 -22.1857137230199264 0.0804682826542186 0.0391667955323700 -0.2044162045706003 0.9747845058900413
1618905206.4075489044189453 416.6455162107216665 437.4357125182791606 -22.1853107066555708 0.0805059765117448 0.0390737682701371 -0.2063871424064779 0.9743697326109254
1618905206.6676490306854248 416.6455718229848912 437.4358609064168490 -22.1848968997761702 0.0805658838150864 0.0389508245689217 -0.2082934333172855 0.9739639712367844
1618905206.9276490211486816 416.6456206948310523 437.4360159458218504 -22.1844950052185510 0.0806172169340613 0.0388050586424243 -0.2102614780200520 0.9735425736033958
1618905207.1876499652862549 416.6456619403457466 437.4361626511195027 -22.1840932365028856 0.0806463784770180 0.0387155876959068 -0.2122426540340939 0.9731137244517730
1618905207.4476490020751953 416.6457096703184675 437.4363165763812731 -22.1836976567671442 0.0806908627454106 0.0386273118951501 -0.2142178934608149 0.9726806308168691
1618905207.7078499794006348 416.6457864805842632 437.4364612741611609 -22.1833035064760900 0.0807229472317177 0.0384974041633120 -0.2161709251562446 0.9722509381738532
1618905207.9677498340606689 416.6458036142204833 437.4366031293762376 -22.1829062716503920 0.0807972691998946 0.0383859452494564 -0.2181264528266310 0.9718123126789191
1618905208.2177510261535645 416.6446444419626118 437.4369814798913580 -22.1824204378396637 0.0808522392826706 0.0382759073832030 -0.2199369518183138 0.9714039363425353
1618905208.4878499507904053 416.6459099519071856 437.4368783204012061 -22.1821175522544571 0.0808939861517319 0.0381777907719918 -0.2219259322664822 0.9709518525054893
